season_number,episode_number_overall,episode_number,episode_title,episode_description,episode_airdate,episode_director,episode_writer,imdb_rating,imdb_votes,us_viewers_in_millions
11,253,21,Devil's Backbone,"The authorities believed that two Virginia based cases of missing boys, Adam Morrissey and Jimmy Bennett, from two years ago were unrelated, until their bloodied clothes, those in which they were last seen, had just arrived in one intercepted package at Fletcham Correctional Center in Troy, Virginia. The addressee of that package is Antonia Slade, a serial killer of young teens, she who was convicted in part by work of the BAU, most specifically Gideon. A social worker, she ran a fake youth hot-line as a means to lure her victims to her home, where the dead bodies of ...",2016-04-20,Félix Enríquez Alcalá,Sharon Lee Watson,7.8,1715,9.14
11,254,22,The Storm,The team works to clear Hotch's name after he's arrested by the DOJ for conspiracy.,2016-05-04,Glenn Kershaw,Erica Messer & Breen Frazier,8.1,1791,8.84
12,255,1,The Crimson King,Luke Alvez (Adam Rodriguez) and the team track down one of the 13 prisoners that escaped from prison at the end of the previous season.,2016-09-28,Glenn Kershaw,Breen Frazier,7.4,1856,8.92
12,256,2,Sick Day,JJ tells her husband about the abduction of two children.,2016-10-05,Larry Teng,Virgil Williams,7.4,2065,7.62
12,257,3,Taboo,The BAU welcomes back Emily Prentiss (Paget Brewster) as they are called upon to investigate the disappearance of three women,2016-10-12,Alec Smight,Karen Maser,7.2,1924,8.4
12,258,4,Keeper,The BAU team searches for a serial killer along the Appalachian Trail in rural Virginia.,2016-10-26,Sharat Raju,Bruce Zimmerman,7.1,1590,7.66
12,259,5,The Anti-Terror Squad,The BAU investigates the case of two murdered families where the oldest siblings are the sole survivors.,2016-11-09,Tawnia McKiernan,Stephanie SenGupta,7.1,1501,7.37
12,260,6,Elliott's Pond,"When three children disappear while riding their bikes on the same path as a similar unsolved disappearance 30 years ago, the BAU team comes in to investigate.",2016-11-16,Matthew Gray Gubler,Erica Messer,7.6,2009,7.62
12,261,7,Mirror Image,The BAU opens an investigation when a man arrives in town believing he's the brother of Dr. Tara Lewis.,2016-11-30,Joe Mantegna,Breen Frazier,7.7,1887,7.44
12,262,8,Scarecrow,"The team heads to Yakima, Washington when the remains of a dozen people are found along a creek bed.",2016-12-07,Christoph Schrewe,Karen Maser,7.2,1607,7.77
